"Id","Designator","Footprint","Quantity","Designation","Supplier and ref",
1,"J16,J10,J18,J15,J11,J12,J14,J17,J19,J13,J9,J7,J6,J8,J4,J2,J3,J5","TestPoint_Pad_D2.5mm",18,"TestPoint",,,
2,"R17,R18","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",2,"10K",,,
3,"D1,D5,D13,D9","LED_D5.0mm",4,"LED R",,,
4,"R15,R11,R16,R8,R4,R13,R6,R1,R12,R5,R2,R3,R7,R9,R10,R14","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",16,"1K",,,
5,"D3,D7,D15,D11","LED_D5.0mm",4,"LED B",,,
6,"C1,C5","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",2,"100nF",,,
7,"BT1","BatteryHolder_Keystone_3002_1x2032",1,"Battery_Cell",,,
8,"J22","TestPoint_THTPad_D1.5mm_Drill0.7mm",1,"NRST",,,
9,"D8,D4,D12,D16","LED_D5.0mm",4,"LED Y",,,
10,"D2,D6,D14,D10","LED_D5.0mm",4,"LED G",,,
11,"SW1","SW_Push_1P1T_NO_CK_KSC6xxJ",1,"SW_Push",,,
12,"J1","PinHeader_1x03_P2.54mm_Vertical",1,"Conn_01x03_Pin",,,
13,"C2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",1,"10uF",,,
14,"U1","TSSOP-20_4.4x6.5mm_P0.65mm",1,"CH32V003F4P6",,,
15,"J21","TestPoint_THTPad_D1.5mm_Drill0.7mm",1,"GND",,,
16,"J20","TestPoint_THTPad_D1.5mm_Drill0.7mm",1,"+3V3",,,
17,"H1","MountingHole_2.5mm_Pad_Via",1,"MountingHole",,,
